house_name,is_available,deposit,max_price,min_price,currency,price_duration,district,locality,route,postal_code,street_number,total_features,features,max_area,min_area,area_unit,owner_emails,owner_phones,url
"Norfolk Street, Sunderland",False,150,75,70,pound,weekly,Tyne and Wear,Sunderland,Norfolk Street,SR1 1EA,24-26,4,laundry_facility/bills_included/Recycling/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701/+44 01915143472,https://amberstudent.com/places/norfolk-street-sunderland-1911065735599
"Park Lane, Sunderland",False,150,112,85,pound,weekly,Tyne and Wear,Sunderland,None,SR2 7AQ,None,4,laundry_facility/Bike Storage/bills_included/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701/+44 01915143472,https://amberstudent.com/places/park-lane-sunderland-1911063502576
"Garth Heads, Newcastle",False,200,94,72,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Melbourne Street,NE1 2JE,Off,4,Laundry Facilities/Gas Central Heating/bills included/not_available,None,None,sqft,salesenquiries@dwellstudent.co.uk/garthheads@dwellstudent.co.uk,+4401917371109/+441612005560,https://amberstudent.com/places/garth-heads-newcastle-1802147411365
Leazes Parade,False,99,96,74,pound,weekly,Tyne and Wear,Newcastle upon Tyne,None,NE2 4LB,None,4,Bike Storage/laundry_facility/Common Room/not_available,None,None,sqft,salesenquiries@essentialstudentliving.com,+440333 344 2829/+440330 057 4431/+441915806169,https://amberstudent.com/places/leazes-parade-2004031240806
Step House,False,100,145,85,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Stepney Lane,NE1 6PN,None,4,laundry_facility/game_room/bills_included/not_available,None,None,sqft,hello@projectstudent.co.uk,+440116 296 7733,https://amberstudent.com/places/step-house-2105250100942
Dunn House,False,200,152,100,pound,weekly,Tyne and Wear,Sunderland,North Bridge Street,SR5 1AH,50-56,4,gym/laundry_facility/bills_included/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701/+44 01915143472,https://amberstudent.com/places/dunn-house-2012297322173
"Manor Bank, Newcastle",False,250,172,98,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Pandon Bank,NE1 2JA,None,4,study_area/laundry_facility/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 203 9298908,https://amberstudent.com/places/manor-bank-newcastle-1806238094654
"Cassaton House, Sunderland",False,250,181,125,pound,weekly,Tyne and Wear,Sunderland,Fawcett Street,SR1 1SA,43,4,study_area/cinema/bills_included/not_available,31,23,sqft,info@axostudent.co.uk,+441919 172025,https://amberstudent.com/places/cassaton-house-sunderland-1810130301095
Knoll Court,False,250,130,105,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Tower Street,NE1 2HW,None,4,24 hour support/gym/laundry_facility/not_available,14,10,sqft,knollcourt@yugo.com,44 (0)191 261 5841,https://amberstudent.com/places/knoll-court-1608301077804
"The Foundry, Newcastle",False,100,149,104,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Clarence Street,NE2 1YL,5,4,Bike Storage/Vending Machine/bills_included/not_available,30,13,sqft,booking@uninn.com,+442477454647,https://amberstudent.com/places/the-foundry-newcastle-1608301658224
"Byron Central, Newcastle",False,250,150,110,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Byron Street,NE2 1XH,None,4,Laundry Facilities/COVID-19 Cancellation Policy/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/byron-central-newcastle-2002148828013
Nido Stepney Yard,False,None,155,114,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Stepney Road,NE2 1TZ,None,4,Bike Storage/COVID 19 Cancellation Policy/laundry_facility/not_available,12,10,sqft,StepneyYard@NidoStudent.com,+440284 344 9905,https://amberstudent.com/places/nido-stepney-yard-1712082129304
"The Shield, Newcastle",False,150,169,117,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Clarence Street,NE2 1YN,None,4,laundry_facility/gym/bills_included/not_available,19,12,sqft,TheShield@thisisfresh.com,+440191 300 6502,https://amberstudent.com/places/the-shield-newcastle-1708080584621
"Albion House, Newcastle",False,100,173,117,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Saint James' Street,NE1 4NF,None,4,laundry_facility/study_area/bills_included/not_available,None,None,sqft,AlbionHouse@crm-students.com,+44 0844 371 5693,https://amberstudent.com/places/albion-house-newcastle-2207150872969
"Barker House, Newcastle",False,99,132,115,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Shield Street,NE2 1XR,None,4,Laundry room/Wi-fi/Study room/not_available,19,14,sqft,barkerhouse@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+443300574963/+4401915805833,https://amberstudent.com/places/barker-house-newcastle-1903050772590
"Verde, Newcastle Upon Tyne",False,100,207,120,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Pitt Street,NE4 5TH,None,4,laundry_facility/cinema/bills_included/not_available,25,13,sqft,info@downingstudents.com/Newcastle@downingstudents.com,+44 151 707 2666/+44 (0)151 708 8868/+4401912619337,https://amberstudent.com/places/verde-newcastle-upon-tyne-1608304599225
The Bruce Building,False,None,150,120,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Percy Street,NE1 7RY,115,4,Wifi/Lift Access to All Floors/bills_included/not_available,None,None,sqft,servicedapartments@waltonrobinson.com,+44-0191 243 1000,https://amberstudent.com/places/the-bruce-building-2003132678270
"The View, Newcastle Upon Tyne",False,100,212,125,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Barrack Road,NE1 4SH,None,4,game_room/bills_included/Cycle Storage/not_available,25,13,sqft,info@downingstudents.com/Newcastle@downingstudents.com,+44 151 707 2666/+44 (0)191 261 8995,https://amberstudent.com/places/the-view-newcastle-upon-tyne-1608303739862
Nido The Bridge,False,100,155,125,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Union Street,NE2 1AH,50-54,4,Utilities Included/Gym Access/COVID 19 Cancellation Policy/not_available,14,11,sqft,TheBridge@NidoStudent.com,+440284 344 9904,https://amberstudent.com/places/nido-the-bridge-1712094768648
"Quay Point, Newcastle",False,250,130,129,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Stepney Lane,NE1 6PZ,None,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,13,12,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/quay-point-newcastle-2002157567190
"Wellington St Plaza, Newcastle",False,250,205,129,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Wellington Street,NE4 5SA,None,4,Bike Storage/COVID-19 Cancellation Policy/bills_included/not_available,45,13,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/wellington-st-plaza-newcastle-2002157791267
"Market House, Newcastle",False,150,200,130,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Market Street,NE1 6AN,None,4,laundry_facility/bills_included/social_space/not_available,22,14,sqft,markethouse@thisisfresh.com,+440191 731 7873,https://amberstudent.com/places/market-house-newcastle-1802084819383
"Magnet Court, Newcastle",False,250,198,130,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Gallowgate,NE1 4SN,8,4,laundry_facility/study_area/bills_included/not_available,None,None,sqft,Internationalbooking2@unitestudents.com,+44 0300 303 8642,https://amberstudent.com/places/magnet-court-newcastle-1806238527793
"Quay Point Studios, Newcastle",False,250,229,134,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Melbourne Street,NE1 2JB,None,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,31,16,sqft,InternationalBooking2@unitestudents.com,+440117 302 7439,https://amberstudent.com/places/quay-point-studios-newcastle-2002155924885
"Newgate Court, Newcastle",False,250,225,136,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Grainger Street,NE1 5AT,None,4,gym/laundry_facility/bills_included/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/newgate-court-newcastle-1806239425440
"Mandale Terrace, Stockton-on-Tees ",False,150,90,85,pound,weekly,Stockton-on-Tees,Stockton-on-Tees,Mandale Road,TS17 6AD,3-7,4,Washing Machine/Recycling/bills_included/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+44 0330 053 5701/+44 01915143472,https://amberstudent.com/places/mandale-terrace-stockton-on-tees-1907096309317
"Newcastle 1, Newcastle",False,250,219,139,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Blandford Square,NE1 4HZ,None,4,gym/laundry_facility/bills_included/not_available,30,12,sqft,newcastle.1@studentroost.co.uk,+44 191 244 9340,https://amberstudent.com/places/newcastle-1-newcastle-1805215820050
Pitt Street Studios,False,100,150,135,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Pitt Street,NE4,None,4,laundry_facility/game_room/bills_included/not_available,None,None,sqft,hello@projectstudent.co.uk,+440116 296 7733,https://amberstudent.com/places/pitt-street-studios-2105253094306
"St James' Point, Newcastle",False,250,215,145,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Pitt Street,NE4 5SU,None,4,best_payment_plan/Outdoor Courtyard/laundry_facility/not_available,None,None,sqft,st.james.point@studentroost.co.uk,+44 191 261 1729,https://amberstudent.com/places/st-james-point-newcastle-1805217566851
True Newcastle Opto,False,None,352,165,pound,weekly,Tyne and Wear,Newcastle upon Tyne,City Road,NE1 2AQ,None,4,gym/study_area/bills_included/not_available,26,14,sqft,newcastleopto@truestudent.com/newcastleoptoteam@truestudent.com,+44(0)7903441266,https://amberstudent.com/places/true-newcastle-opto-2103235404425
"Newcastle City, Newcastle Upon Tyne",False,500,310,180,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Clavering Place,NE1,None,4,laundry_facility/game_room/bills_included/not_available,None,None,sqft,info@iconinc.co.uk,44 (0)330 111 5200/44(0)1134675432,https://amberstudent.com/places/newcastle-city-newcastle-upon-tyne-2007316584308
Vita Student Westgate Newcastle,False,None,999,227,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Westgate Road,NE1 1TT,None,4,complimentary breakfast/gym/free tea & coffee in the hub/not_available,40,19,sqft,internationalpartnerships@vitastudent.com,+44 203 096 1717,https://amberstudent.com/places/vita-student-westgate-newcastle-1608302336874
"St James House, Newcastle",False,250,249,221,pound,weekly,Tyne and Wear,Newcastle upon Tyne,Saint James' Street,NE1 4NF,None,4,best_payment_plan/Bike Storage/game_room/not_available,None,None,sqft,st.james.house@studentroost.co.uk,+44 191 260 0751,https://amberstudent.com/places/st-james-house-newcastle-1805215767732
"IQ The Pad, Egham",True,175,339,223,pound,weekly,Surrey,Egham,Egham Hill,TW20 0ER,71,3,bills_included/cinema/study_area,23,13,sqft,thepad@iqstudentaccommodation.com,+44 01784800318,https://amberstudent.com/places/iq-the-pad-egham-1709203520978
"The Garage, Egham",True,150,250,233,pound,weekly,Surrey,Egham,Harvest Road,TW20 0QR,98,4,On-site maintenance/On-site parking/On-site vending machines/laundry_facility,14,12,sqft,TheGarage@crm-students.com,+44 0333 188 1116,https://amberstudent.com/places/the-garage-egham-2012077421196
IQ Podium,True,175,360,237,pound,weekly,Surrey,Egham,Egham Hill,TW20 0ER,71,4,study_area/gym/bills_included/laundry_facility,50,14,sqft,podium@iqstudentaccommodation.com,+44 01784800318,https://amberstudent.com/places/iq-podium-2109134217957
Straits Garden,True,99,375,269,pound,weekly,Surrey,Egham,High Street,TW20 9DP,None,3,laundry_facility/gym/bills_included,25,14,sqft,salesenquiries@prestigestudentliving.com/straitsgarden@wearehomesforstudent.com,+440333 344 3787,https://amberstudent.com/places/straits-garden-2201170598057
"Guilden Village, Stoke Park ",True,99,340,174,pound,weekly,Surrey,Guildford,Lido Road,GU1 1FQ,None,3,study_area/gym/game areas,None,None,sqft,salesenquiries@wearehomesforstudents.com/guildenvillage@prestigestudentliving.com,+44 0330 311 4325/+4401483802889,https://amberstudent.com/places/guilden-village-stoke-park-2012113793658
Bankside Student Living,True,150,360,180,pound,weekly,Surrey,Guildford,Walnut Tree Close,GU1,None,4,gym/laundry_facility/game_room/bills_included,28,13,sqft,Bankside@crm-students.com,+44 01483 569485,https://amberstudent.com/places/bankside-student-living-2101024541679
Scape GuildFord,True,None,395,190,pound,weekly,Surrey,Guildford,None,GU1 4BJ,None,3,laundry_facility/cinema/bills_included,None,None,sqft,Preferences.uk@scape.com/bookings.uk@scape.com,+44(0)203 934 5297/+44 (0) 20 45718133,https://amberstudent.com/places/scape-guildford-2010061389692
"Riverside House, Guildford",True,150,451,267,pound,weekly,Surrey,Guildford,Walnut Tree Close,GU1,None,3,laundry_facility/gym/cinema,28,19,sqft,yourspace@unilife.co.uk,+44 (0)845 5195 100,https://amberstudent.com/places/riverside-house-guildford-1608307278252
Maksons House,False,250,295,245,pound,weekly,Greater London,West Drayton,Station Road,UB7 7BT,52,4,All Bills Included/COVID-19 Cancellation Policy/Flexible tenancy/not_available,None,None,sqft,info@maksonshouse.com,+4407799 503456,https://amberstudent.com/places/maksons-house-1712223985946
"The Bridge, Guildford ",False,None,238,165,pound,weekly,Surrey,Guildford,Bridge Street,GU1 4SB,None,4,laundry_facility/bills_included/game_room/not_available,None,None,sqft,salesenquiries@essentialstudentliving.com,+44 0330 057 4431,https://amberstudent.com/places/the-bridge-guildford-2111238910171
London House,False,200,170,136,pound,weekly,Buckinghamshire,High Wycombe,London Road,HP11 1BN,85,4,Bike Storage/Parking/Washing room/not_available,None,None,sqft,letting@icon2live.com,+44 20 3242 0595,https://amberstudent.com/places/london-house-2108127938765
"Alexandra House, High Wycombe",False,99,159,151,pound,weekly,Buckinghamshire,High Wycombe,Queen Alexandra Road,HP11 2GZ,None,4,Laundry Room/Central Heating/Parking/not_available,25,20,sqft,salesenquiries@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+440333 344 2829/+4407597012422,https://amberstudent.com/places/alexandra-house-high-wycombe-1904202460392
True Liverpool,True,None,252,134,pound,weekly,Merseyside,Liverpool,Prospect Street,L6 1AU,45,4,laundry_facility/cinema/game_room/bills_included,26,13,sqft,liverpool@truestudent.com,+44(0)151 294 5189,https://amberstudent.com/places/true-liverpool-2011117953561
"Waterside Court, Chester",True,None,130,110,pound,weekly,Cheshire West and Chester,Chester,Whipcord Lane,CH1 4GD,None,3,bills_included/Parking/laundry_facility,14,12,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701,https://amberstudent.com/places/waterside-court-chester-1904200535319
"Cambridge Court, Liverpool",True,None,None,None,pound,weekly,Merseyside,Liverpool,Cambridge Court,L7 7JB,None,3,Bike Storage/laundry_facility/bills_included,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/cambridge-court-liverpool-1710240376939
"iQ Great Newton House, Liverpool",True,100,203,127,pound,weekly,Merseyside,Liverpool,Lower Gill Street,L3 5BB,7,4,laundry_facility/24/7 staff presence/Close to universities/bills_included,None,None,sqft,greatnewtonhouse@iqstudentaccommodation.com,+440151 709 7116,https://amberstudent.com/places/iq-great-newton-house-liverpool-1608304787060
Tudor Place,True,None,215,148,pound,weekly,Cheshire West and Chester,Chester,Liverpool Road,CH2 1AA,None,4,laundry_facility/gym/bills_included/study_area,38,12,sqft,Tudorplace@thisisfresh.com,+44 01244 259 470,https://amberstudent.com/places/tudor-place-1912141144001
"Agnes Jones House, Liverpool",True,None,107,85,pound,weekly,Merseyside,Liverpool,Catharine Street,L8 7JZ,1A,3,No deposit required/Bike storage/laundry_facility,None,None,sqft,info@gather-students.com,+44 1517 088514,https://amberstudent.com/places/agnes-jones-house-liverpool-2209022700242
"Byrom Point, Liverpool",True,None,189,155,pound,weekly,Merseyside,Liverpool,Great Crosshall Street,L3 2AT,72,3,gym/laundry_facility/bills_included,25,13,sqft,byrom.point@studentroost.co.uk,+44151 541 1120,https://amberstudent.com/places/byrom-point-liverpool-1608306844687
"Falkland House, Liverpool",True,None,135,99,pound,weekly,Merseyside,Liverpool,Falkland Street,L3 8AF,20,3,laundry_facility/Great location/bills_included,None,None,sqft,bookings@cloudstudenthomes.co.uk,+44 0330 053 5701,https://amberstudent.com/places/falkland-house-liverpool-1906279728760
"Cathedral Campus, Liverpool",True,200,164,113,pound,weekly,Merseyside,Liverpool,Cathedral Gate,L1 7BT,None,3,laundry_facility/bills_included/Lounge Area,None,None,sqft,salesenquiries@dwellstudent.co.uk,+440161 200 5560,https://amberstudent.com/places/cathedral-campus-liverpool-1802122808190
"City Point, Liverpool",True,250,120,94,pound,weekly,Merseyside,Liverpool,Great Homer Street,L5 3LD,2,3,gym/laundry_facility/bills_included,None,None,sqft,students@carolettings.com/cara@carostudentliving.com,+44 08000087888,https://amberstudent.com/places/city-point-liverpool-2105217197377
"Chester City, Chester",True,None,325,225,pound,weekly,Cheshire West and Chester,Chester,New Crane Street,CH1 2LY,None,3,laundry_facility/bills_included/wifi,30,26,sqft,enquiries@iconinc.co.uk,+44(0)330 111 5200,https://amberstudent.com/places/chester-city-chester-2012027156301
"Phoenix Place, Liverpool",True,None,135,104,pound,weekly,Merseyside,Liverpool,Prince Edwin Street,L5 3AA,5,3,24h Security/laundry_facility/bills_included,None,None,sqft,bookings@cloudstudenthomes.co.uk,+44 0330 053 5701,https://amberstudent.com/places/phoenix-place-liverpool-2106267754634
"Prospect Point, Liverpool",True,250,199,117,pound,weekly,Merseyside,Liverpool,Moira Street,L6 1BA,60,3,Post Service/COVID-19 Cancellation Polic/bills_included,28,12,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/prospect-point-liverpool-2002134204705
Hope Street Apartments,True,300,240,135,pound,weekly,Merseyside,Liverpool,Hope Street,L1 9BR,29F,3,cinema/game_room/bills_included,15,14,sqft,hopestreet@host-students.com,+44 (0)151 329 3087,https://amberstudent.com/places/hope-street-apartments-1608303656939
"Moorfield, Liverpool",True,250,123,120,pound,weekly,Merseyside,Liverpool,Hatton Garden,L3 2EZ,29,3,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included,16,13,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/moorfield-liverpool-2002141197351
X1 Arndale House,True,200,None,None,pound,weekly,Merseyside,Liverpool,Lambert Street,L3,None,3,Complimentary Netflix/gym/bills_included,None,None,sqft,hello@x1management.com/Sophie@x1management.com,+44(0)151 559 3333,https://amberstudent.com/places/x1-arndale-house-2108061188888
"Atlantic Point, Liverpool",True,250,124,119,pound,weekly,Merseyside,Liverpool,Naylor Street,L3 6LS,None,3,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included,15,12,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/atlantic-point-liverpool-2002135955868
"Plato House, Liverpool",True,200,140,130,pound,weekly,Merseyside,Liverpool,Greek Street,L3 5QJ,11,3,laundry_facility/bills_included/Common Room,None,None,sqft,bookings@cloudstudenthomes.co.uk,+440330 053 5701/+44 01518326830,https://amberstudent.com/places/plato-house-liverpool-1907092608404
"X1 The Edge, Liverpool",True,200,134,130,pound,weekly,Merseyside,Liverpool,Seymour Street,L3 5PE,2,3,Complimentary Netflix/gym/cinema,None,None,sqft,hello@x1management.com/Sophie@x1management.com,+44(0)151 559 3333,https://amberstudent.com/places/x1-the-edge-liverpool-2108066899323
"One Islington Plaza, Liverpool",True,99,179,129,pound,weekly,Merseyside,Liverpool,Devon Street,L3 8HA,None,3,study_area/laundry_facility/bills_included,34,13,sqft,salesenquiries@wearehomesforstudents.com/oneislingtonplaza@urbanstudentlife.com,+44 0371 705 2565/+4401513150983,https://amberstudent.com/places/one-islington-plaza-liverpool-1904197662379
Ablett House,True,250,160,128,pound,weekly,Merseyside,Liverpool,Great Crosshall Street,L3 2AF,2,3,laundry_facility/study_area/bills_included,25,15,sqft,abletthouse@yugo.com,+4401512143370,https://amberstudent.com/places/ablett-house-1608308330826
"The Lantern, Liverpool",True,150,195,143,pound,weekly,Merseyside,Liverpool,Bolton Street,L3 5AA,6,3,gym/bills_included/study_area,21,13,sqft,Thelantern@thisisfresh.com,+44151 305 6728,https://amberstudent.com/places/the-lantern-liverpool-1802071640404
"Calico, Liverpool",True,None,222,141,pound,weekly,Merseyside,Liverpool,Islington,L3 8LG,52,4,gym/cinema/bills_included/game_room,28,15,sqft,Calico@thisisfresh.com,+44 151 318 7700,https://amberstudent.com/places/calico-liverpool-1903075725801
"Horizon Heights, Liverpool",True,250,249,148,pound,weekly,Merseyside,Liverpool,Skelhorne Street,L3 5GH,None,3,laundry_facility/study_area/bills_included,20,15,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/horizon-heights-liverpool-1902159623509
"St Lukes View, Liverpool",True,250,181,158,pound,weekly,Merseyside,Liverpool,Oldham Street,L1 2SU,8,3,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/st-lukes-view-liverpool-1710241326045
"Unity Square, Liverpool",True,None,160,145,pound,weekly,Merseyside,Liverpool,Shaw Street,L6 1AA,26,4,Covid 19 Cancellation Policy/Flexible Contracts/laundry_facility/Bike Storage,None,None,sqft,info@unitysquarestudents.com,+44(0)161 274 3330,https://amberstudent.com/places/unity-square-liverpool-2102097289359
"The Ascent, Liverpool",True,None,500,188,pound,weekly,Merseyside,Liverpool,Renshaw Street,L1 2SD,30,4,laundry_facility/gym/bills_included/cinema,34,22,sqft,info@iconinc.co.uk,+44 330 111 5200,https://amberstudent.com/places/the-ascent-liverpool-1805077073045
"Trinity Halls, Chester",False,150,127,104,pound,weekly,Cheshire West and Chester,Chester,George Street,CH1 3EQ,None,4,laundry_facility/bills_included/Parking/not_available,None,None,sqft,bookings@cloudstudenthomes.co.uk,+44 0330 053 5701,https://amberstudent.com/places/trinity-halls-chester-1608301257519
"Abbeygate, Chester",False,150,164,111,pound,weekly,Cheshire West and Chester,Chester,Victoria Road,CH2 2AX,9,4,laundry_facility/bills_included/cycle_store/not_available,23,13,sqft,Abbeygate@thisisfresh.com,+441244 399415,https://amberstudent.com/places/abbeygate-chester-1608307431738
"Tramways, Chester",False,250,205,125,pound,weekly,Cheshire West and Chester,Chester,Crewe Street,CH1,None,4,dual_occupancy/laundry_facility/bills_included/not_available,22,13,sqft,tramways@studentroost.co.uk,+441244 567327,https://amberstudent.com/places/tramways-chester-1708052122857
"Northgate Studios, Chester",False,100,225,135,pound,weekly,Cheshire West and Chester,Chester,Trafford Street,None,None,4,bills_included/laundry_facility/Safety and security/not_available,37,20,sqft,bookings@studentfm.co.uk,+44333 444 1122,https://amberstudent.com/places/northgate-studios-chester-1803231057428
"Northgate Point, Chester",False,100,210,140,pound,weekly,Cheshire West and Chester,Chester,Trafford Street,None,None,4,laundry_facility/bills_included/Safety and Security/not_available,43,20,sqft,bookings@studentfm.co.uk,+44333 444 1122,https://amberstudent.com/places/northgate-point-chester-1803070817196
"The Towpath, Chester",False,250,209,139,pound,weekly,Cheshire West and Chester,Chester,Wharf View,CH1,None,4,gym/laundry_facility/bills_included/not_available,14,13,sqft,the.towpath@studentroost.co.uk,+441244 566233,https://amberstudent.com/places/the-towpath-chester-1708051689297
Granary Studios,False,100,200,159,pound,weekly,Cheshire West and Chester,Chester,Hunter Street,CH1 2AS,None,4,laundry_facility/bills_included/study_area/not_available,29,19,sqft,Granarystudios@thisisfresh.com,+44 01244 621033,https://amberstudent.com/places/granary-studios-1912135224258
"St. Andrews Gardens, Liverpool ",False,50,120,80,pound,weekly,Merseyside,Liverpool,Moor Place,L3 5XA,21,4,24h Security/Bike Storage/bills_included/not_available,None,None,sqft,StAndrewsGardens@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+44370 218 6105/+441513292734,https://amberstudent.com/places/st-andrews-gardens-liverpool-1608300954368
Queensland place,False,250,117,89,pound,weekly,Merseyside,Liverpool,Chatham Place,L7 3AA,2,4,Pool tables/gym/cinema/not_available,None,None,sqft,qp@theurbanevolution.co.uk,+4401512272223,https://amberstudent.com/places/queensland-place-2101309236510
"Lennon Studios, Liverpool",False,250,159,92,pound,weekly,Merseyside,Liverpool,Cambridge Court,L7 7AG,109,4,laundry_facility/bills_included/bike storage/not_available,49,9,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/lennon-studios-liverpool-1710235109897
"The Railyard, Liverpool",False,250,139,105,pound,weekly,Merseyside,Liverpool,Crown Station Place,L7 3LA,None,4,laundry_facility/bills_included/BBQ area/not_available,18,11,sqft,the.railyard@studentroost.co.uk,+44 151 709 2718,https://amberstudent.com/places/the-railyard-liverpool-1805189329851
"The Bridewell, Liverpool",False,250,145,94,pound,weekly,Merseyside,Liverpool,Cheapside,L2 2DH,None,4,gym/Cycle Store/bills_included/not_available,None,None,sqft,enquiries@carolettings.com,+44 08000087888,https://amberstudent.com/places/the-bridewell-liverpool-2105215018814
"Grand Central, Liverpool",False,250,169,102,pound,weekly,Merseyside,Liverpool,Skelhorne Street,L3 5GA,None,4,laundry_facility/bills_included/bike storage/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399/+44 203 9298 908/+44 0300 303 8642,https://amberstudent.com/places/grand-central-liverpool-1710239775834
"Arrad House, Liverpool",False,250,None,None,pound,weekly,Merseyside,Liverpool,Arrad Street,L7 7JE,None,4,laundry_facility/bills_included/Bike storage/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/arrad-house-liverpool-1710230004824
"Myrtle Court, Liverpool",False,250,169,119,pound,weekly,Merseyside,Liverpool,Crown Street,L8 7JX,200,4,laundry_facility/Bike Storage/bills_included/not_available,20,12,sqft,myrtle.court@studentroost.co.uk,+44 151 709 1302,https://amberstudent.com/places/myrtle-court-liverpool-1805181537211
"Myrtle Street, Liverpool",False,100,150,120,pound,weekly,Merseyside,Liverpool,Myrtle Street,L7 7DN,5a,3,Lounge/bills_included/not_available,None,None,sqft,info@downingstudents.com/Liverpool@downingstudents.com,+44 (0)151 707 4398/+44 (0)151 708 8868,https://amberstudent.com/places/myrtle-street-liverpool-1706278327312
"Cedar House, Liverpool",False,250,165,120,pound,weekly,Merseyside,Liverpool,Cambridge Street,L7 7JG,2,4,laundry_facility/bills_included/Bike storage/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/cedar-house-liverpool-1710239411797
"Apollo Court, Liverpool",False,250,185,115,pound,weekly,Merseyside,Liverpool,Greek Street,L3 5QJ,6,3,Onsite Laundry Facilities/bills_included/not_available,None,None,sqft,apollo.court@studentroost.co.uk,+44 151 703 0836,https://amberstudent.com/places/apollo-court-liverpool-1805171098203
"The Arch, Liverpool",False,100,180,135,pound,weekly,Merseyside,Liverpool,Nelson Street,L1 5DR,2,4,game_room/bills_included/Cycle Storage/not_available,23,14,sqft,info@downingstudents.com/Liverpool@downingstudents.com,+44 151 707 2666,https://amberstudent.com/places/the-arch-liverpool-1608300157225
"Capital Gate, Liverpool",False,None,189,129,pound,weekly,Merseyside,Liverpool,Daulby Street,L3 5NT,20,4,laundry_facility/study_area/bills_included/not_available,None,None,sqft,capital.gate@studentroost.co.uk,+44 151 707 6449,https://amberstudent.com/places/capital-gate-liverpool-1805181274399
"The Electra, Liverpool",False,100,218,145,pound,weekly,Merseyside,Liverpool,Caledonia Street,L7 7ED,None,4,laundry_facility/game_room/bills_included/not_available,32,21,sqft,info@downingstudents.com/Liverpool@downingstudents.com,+44 151 707 2666/+44 (0)151 708 8868,https://amberstudent.com/places/the-electra-liverpool-1608304352045
